"ENTREZID","SYMBOL","logFC","logCPM","LR","PValue","FDR"
816,"CAMK2B",-2.87725773816586,3.61939780790793,123.416395976442,1.13050739266006e-28,7.26633626632252e-26
9636,"ISG15",2.08389992118168,5.95570255057817,122.935183760133,1.44079568077132e-28,8.81972784586444e-26
3925,"STMN1",-2.29520665315829,5.05011208763014,120.252698055587,5.56944223097592e-28,3.25432635814525e-25
6346,"CCL1",6.36814874303743,3.74995716881154,119.856458795655,6.80078724302661e-28,3.80104869604813e-25
6035,"RNASE1",-2.10000269688277,9.6856997188035,117.705367331192,2.01155429767845e-27,1.07743877069402e-24
91543,"RSAD2",3.24526665915967,5.59295149358101,116.293216206843,4.0997221278849e-27,2.10807711815842e-24
10410,"IFITM3",2.32306946757119,6.60975106581467,115.964439068551,4.83896060662529e-27,2.39249379223724e-24
2920,"CXCL2",4.98871327822725,3.82903376523762,113.100538978164,2.0510640843836e-26,9.7653440017597e-24
64332,"NFKBIZ",3.18259645291619,4.59409484761247,111.958802315166,3.64812648289028e-26,1.67488092634123e-23
2921,"CXCL3",6.16987462340754,6.59698935288703,111.601469246177,4.36863785320637e-26,1.93651171044717e-23
3479,"IGF1",-5.02732199856592,2.73754646229138,111.012868402942,5.87878563946218e-26,2.51905964650954e-23
2537,"IFI6",2.461360404277,9.01920770984067,110.026159144209,9.67061089165636e-26,4.01018396813686e-23
1236,"CCR7",7.21300555521096,3.82073177062051,109.051895576723,1.58092099580283e-25,6.35085606282668e-23
10630,"PDPN",2.6034168313698,4.44835319290806,108.759262711813,1.8324317766685e-25,7.13815469365867e-23
29940,"DSE",1.72543286404107,6.10264239968479,108.245201624953,2.37500985967754e-25,8.97963286651609e-23
84419,"C15orf48",2.97916427499288,9.21693151443074,106.834048335985,4.84052265034267e-25,1.77785481914729e-22
23601,"CLEC5A",2.75554636604066,6.08232290000979,106.080244652461,7.08090253573768e-25,2.52847228046966e-22
4071,"TM4SF1",4.86444961482946,3.91611546713607,106.01905262369,7.30296694495624e-25,2.5372875696598e-22
4693,"NDP",4.06103987705269,3.88193402916515,104.024169940709,1.99862988595456e-24,6.76115452209103e-22
338339,"CLEC4D",4.6562978897272,3.00129520897413,103.593874784887,2.48343794867932e-24,8.18579354622377e-22
4094,"MAF",-1.76563933080152,5.84479687110667,103.252843425329,2.94991932870941e-24,9.48030324263988e-22
6283,"S100A12",5.34893583304108,2.68561681607857,102.443564325013,4.43833229755948e-24,1.39157955329578e-21
4316,"MMP7",3.25241107702447,9.88253435388537,102.018955001743,5.49930268207825e-24,1.68317942805038e-21
629,"CFB",4.12836185298514,3.47749131202996,100.754361132832,1.04128168670467e-23,3.11294792618339e-21
58475,"MS4A7",2.44973546127897,7.94786940654105,100.535129910162,1.16315536087642e-23,3.39826412819691e-21
342510,"CD300E",4.36056496139742,4.87927887802825,99.906605050837,1.59755594050927e-23,4.56368480338816e-21
5743,"PTGS2",5.65277584094923,6.11995976844259,98.4203370828889,3.38366359626169e-23,9.45586859346609e-21
6368,"CCL23",5.6923750765042,3.50895070157097,97.8485512074839,4.51637054295904e-23,1.23527538999443e-20
6236,"RRAD",4.78051061216602,2.0667127196328,94.2798027656527,2.73931160570953e-22,7.33621889404083e-20
6363,"CCL19",5.23503028694093,1.93196005388403,94.0710078301287,3.04405430398405e-22,7.98598328116632e-20
7433,"VIPR1",-4.26514266296917,2.75228930184349,93.6398921412141,3.78481991531582e-22,9.73077200227698e-20
